pair,market,entry_date,position_side,entry_price,position_size,entry_zscore,coint_pvalue,half_life,zero_crossing,exit_date,exit_zscore,exit_signal,total_pnl
UMA-USD--UNI-USD,UNI-USD,2023-04-12T03:02:03.412Z,LONG,5.779,8.7,1.5178804635591776,2.655018444519915e-05,18.0,16.0,2023-04-12T10:48:40.921437,2.471823144859508,SL,0.4804429999999999
XMR-USD--AVAX-USD,XMR-USD,2023-04-12T01:03:22.129Z,SHORT,161.6,0.31,1.80773819790769,0.0049939006004823,23.0,10.0,2023-04-12T12:35:47.685194,-1.8691867906523607,Zscore,0.582515
XMR-USD--AVAX-USD,AVAX-USD,2023-04-12T01:03:40.202Z,LONG,18.09,2.8,1.80773819790769,0.0049939006004823,23.0,10.0,2023-04-12T12:35:49.192777,-1.8691867906523607,Zscore,0.686
XLM-USD--ADA-USD,XLM-USD,2023-04-11T06:17:46.276Z,LONG,0.1065,470.0,-2.53763814335924,0.049,19.0,10.0,2023-04-12T12:48:57.199677,-1.4874793607771355,SL,-1.347903
XLM-USD--ADA-USD,ADA-USD,2023-04-11T06:18:05.063Z,SHORT,0.404,123.0,-2.53763814335924,0.049,19.0,10.0,2023-04-12T12:48:58.747764,-1.4874793607771355,SL,0.338423
TRX-USD--NEAR-USD,TRX-USD,2023-04-12T08:02:57.461Z,LONG,0.0642,780.0,-3.013261430408619,0.0029320635033949,5.0,15.0,2023-04-12T13:42:21.339948,-2.095465933587143,SL,0.212472
TRX-USD--NEAR-USD,NEAR-USD,2023-04-12T08:03:15.471Z,SHORT,2.103,23.8,-3.013261430408619,0.0029320635033949,5.0,15.0,2023-04-12T13:42:22.972575,-2.095465933587143,SL,-1.259473
ALGO-USD--1INCH-USD,ALGO-USD,2023-04-10T20:28:21.467Z,LONG,0.2195,228.0,-1.9478623167536908,0.049,12.0,10.0,2023-04-12T13:48:59.550981,2.184030247328782,Zscore,-1.257576
ALGO-USD--1INCH-USD,1INCH-USD,2023-04-10T20:28:40.455Z,SHORT,0.543,92.0,-1.9478623167536908,0.049,12.0,10.0,2023-04-12T13:49:01.079744,2.184030247328782,Zscore,1.442464
FIL-USD--NEAR-USD,FIL-USD,2023-04-12T13:43:24.841Z,LONG,6.01,8.3,-2.0588538918448585,0.0113547425123786,9.0,13.0,2023-04-12T14:06:15.445927,-2.3618441160710293,SL,-0.313068
FIL-USD--NEAR-USD,NEAR-USD,2023-04-12T13:43:43.272Z,SHORT,2.145,23.2,-2.0588538918448585,0.0113547425123786,9.0,13.0,2023-04-12T14:06:16.965633,-2.3618441160710293,SL,-0.6985089999999999
ETC-USD--COMP-USD,ETC-USD,2023-04-12T01:00:49.601Z,SHORT,21.68,2.3,1.834123386059812,0.0342581751315201,5.0,11.0,2023-04-12T14:18:20.804117,2.8121927156381465,SL,-0.989644
ETC-USD--COMP-USD,COMP-USD,2023-04-12T01:01:07.566Z,LONG,43.3,1.16,1.834123386059812,0.0342581751315201,5.0,11.0,2023-04-12T14:18:22.615557,2.8121927156381465,SL,-0.11931
ATOM-USD--BTC-USD,ATOM-USD,2023-04-12T02:16:00.657Z,LONG,11.026,4.5,-2.460485426178202,0.0261858454752075,23.0,16.0,2023-04-12T15:14:35.533075,2.953859784693987,Zscore,0.59946
ATOM-USD--BTC-USD,BTC-USD,2023-04-12T02:16:18.733Z,SHORT,30015.0,0.0017,-2.460485426178202,0.0261858454752075,23.0,16.0,2023-04-12T15:14:37.103367,2.953859784693987,Zscore,0.4343249999999999
CELO-USD--ETH-USD,CELO-USD,2023-04-12T01:50:07.054Z,LONG,0.668,74.0,-1.6084517092512352,0.0221782205482431,16.0,15.0,2023-04-12T15:22:17.161852,-1.6761426435553788,SL,-0.270134
CELO-USD--ETH-USD,ETH-USD,2023-04-12T01:50:25.010Z,SHORT,1885.2,0.027,-1.6084517092512352,0.0221782205482431,16.0,15.0,2023-04-12T15:22:18.717472,-1.6761426435553788,SL,-0.738738
ATOM-USD--MATIC-USD,ATOM-USD,2023-04-12T15:15:48.289Z,LONG,11.224,4.5,-2.1051307661280747,0.0064492336882235,8.0,21.0,2023-04-12T18:32:16.205937,2.3000862714158106,Zscore,0.178709
ATOM-USD--MATIC-USD,MATIC-USD,2023-04-12T15:16:06.336Z,SHORT,1.1052,44.0,-2.1051307661280747,0.0064492336882235,8.0,21.0,2023-04-12T18:32:17.708396,2.3000862714158106,Zscore,0.27556
FIL-USD--NEAR-USD,FIL-USD,2023-04-12T14:07:12.319Z,LONG,6.0,8.4,-2.362597203975583,0.0113547425123786,9.0,13.0,2023-04-12T19:06:19.608650,-1.293301767600049,SL,-0.643218
FIL-USD--NEAR-USD,NEAR-USD,2023-04-12T14:07:30.590Z,SHORT,2.186,22.9,-2.362597203975583,0.0113547425123786,9.0,13.0,2023-04-12T19:06:21.232006,-1.293301767600049,SL,-0.373586
CELO-USD--SUSHI-USD,CELO-USD,2023-04-12T15:23:36.367Z,LONG,0.667,75.0,-1.6213669050393194,0.0430365221569274,12.0,16.0,2023-04-12T19:14:00.809959,2.329843685317678,Zscore,-0.22752
CELO-USD--SUSHI-USD,SUSHI-USD,2023-04-12T15:23:54.471Z,SHORT,1.121,44.6,-1.6213669050393194,0.0430365221569274,12.0,16.0,2023-04-12T19:14:02.382407,2.329843685317678,Zscore,0.561407
ALGO-USD--1INCH-USD,ALGO-USD,2023-04-12T14:41:58.670Z,LONG,0.217,231.0,-1.6422687132787486,0.0002068767169577,13.0,20.0,2023-04-12T20:55:24.037915,-2.534486198111114,SL,-0.734675
ALGO-USD--1INCH-USD,1INCH-USD,2023-04-12T14:42:17.300Z,SHORT,0.534,93.0,-1.6422687132787486,0.0002068767169577,13.0,20.0,2023-04-12T20:55:25.707736,-2.534486198111114,SL,-0.267705
CELO-USD--1INCH-USD,CELO-USD,2023-04-12T20:56:38.668Z,LONG,0.673,74.0,-1.9877977862476168,0.0223331435799412,16.0,11.0,2023-04-12T23:22:38.460830,2.106863003125792,Zscore,0.032176
CELO-USD--1INCH-USD,1INCH-USD,2023-04-12T20:56:56.931Z,SHORT,0.535,92.0,-1.9877977862476168,0.0223331435799412,16.0,11.0,2023-04-12T23:22:40.323156,2.106863003125792,Zscore,-0.18031
ZEC-USD--FIL-USD,ZEC-USD,2023-04-12T19:07:05.743Z,SHORT,39.1,1.27,2.1671065934896787,0.0182840508087506,8.0,15.0,2023-04-13T02:22:20.742148,1.0981875018783729,SL,-1.04198
ZEC-USD--FIL-USD,FIL-USD,2023-04-12T19:07:23.959Z,LONG,5.94,8.5,2.1671065934896787,0.0182840508087506,8.0,15.0,2023-04-13T02:22:22.268623,1.0981875018783729,SL,-0.005292
NEAR-USD--AVAX-USD,NEAR-USD,2023-04-12T19:08:28.639Z,SHORT,2.204,22.7,1.6957395611555992,0.0088689808701511,7.0,12.0,2023-04-13T03:11:23.301812,0.2332875371760439,TP,0.251914
NEAR-USD--AVAX-USD,AVAX-USD,2023-04-12T19:08:47.194Z,LONG,18.0,2.8,1.6957395611555992,0.0088689808701511,7.0,12.0,2023-04-13T03:11:24.834454,0.2332875371760439,TP,1.26239
LINK-USD--XLM-USD,LINK-USD,2023-04-12T12:49:43.477Z,SHORT,7.257,6.9,1.5032999869123596,0.0153801835806781,19.0,12.0,2023-04-13T03:53:45.936691,-1.6856953580914356,Zscore,0.160632
LINK-USD--XLM-USD,XLM-USD,2023-04-12T12:50:01.954Z,LONG,0.1038,480.0,1.5032999869123596,0.0153801835806781,19.0,12.0,2023-04-13T03:53:48.152849,-1.6856953580914356,Zscore,0.202435
ICP-USD--YFI-USD,ICP-USD,2023-04-12T19:20:56.971Z,SHORT,5.35,9.3,1.7322830848245394,0.0023886765420565,8.0,14.0,2023-04-13T05:38:12.947526,-1.2220328572434418,TP,0.275059
ICP-USD--YFI-USD,YFI-USD,2023-04-12T19:21:15.499Z,LONG,9158.0,0.0055,1.7322830848245394,0.0023886765420565,8.0,14.0,2023-04-13T05:38:14.631085,-1.2220328572434418,TP,1.227672
ICP-USD--YFI-USD,ICP-USD,2023-04-13T05:40:47.965Z,LONG,5.33,9.4,-1.7726852939824014,0.002617967496557,7.0,13.0,2023-04-13T06:31:51.752497,1.307599727612475,TP,-0.167944
ICP-USD--YFI-USD,YFI-USD,2023-04-13T05:41:06.147Z,SHORT,9366.0,0.0053,-1.7726852939824014,0.002617967496557,7.0,13.0,2023-04-13T06:31:53.259575,1.307599727612475,TP,1.787251
YFI-USD--SOL-USD,YFI-USD,2023-04-13T06:32:44.250Z,LONG,9022.0,0.0055,-2.7840018412409107,0.0439367019411735,18.0,16.0,2023-04-13T06:44:30.909659,-3.2365882180844308,SL,-0.61336
YFI-USD--SOL-USD,SOL-USD,2023-04-13T06:33:02.740Z,SHORT,23.966,2.1,-2.7840018412409107,0.0439367019411735,18.0,16.0,2023-04-13T06:44:32.680031,-3.2365882180844308,SL,-0.400449
ZEC-USD--FIL-USD,ZEC-USD,2023-04-13T02:24:28.888Z,SHORT,39.8,1.25,1.98833073461605,0.0105029593055041,8.0,18.0,2023-04-13T06:52:37.655853,1.5302971720272895,SL,-0.861255
ZEC-USD--FIL-USD,FIL-USD,2023-04-13T02:24:46.884Z,LONG,5.945833,8.4,1.98833073461605,0.0105029593055041,8.0,18.0,2023-04-13T06:52:39.189470,1.5302971720272895,SL,-0.15062
COMP-USD--EOS-USD,COMP-USD,2023-04-12T14:21:34.155Z,SHORT,43.1,1.16,1.805966954078366,0.0056940284633791,23.0,19.0,2023-04-13T06:56:48.835985,-1.9188605290313747,Zscore,0.62371
